N,P,K,Temperature,Humidity,pH,Rainfall,Crop
109.46,81.0,37.52,34.17,88.39,7.61,74.43,Sugarcane
96.7,41.17,28.68,28.57,65.59,5.96,136.41,Maize
46.05,15.54,13.89,27.87,71.43,6.83,165.12,Soybean
29.81,44.32,9.56,25.41,88.23,6.21,70.51,Barley
26.15,75.15,54.46,20.88,89.11,5.68,91.67,Rice
96.85,41.08,28.9,28.07,66.25,6.14,136.49,Maize
38.55,31.89,74.27,24.92,61.76,6.13,238.4,Rice
109.32,87.83,47.88,24.66,54.43,6.18,137.4,Maize
90.67,17.19,11.81,34.16,77.25,7.28,229.09,Pulses
78.09,47.95,11.6,29.76,88.08,6.54,271.93,Sugarcane
22.34,40.71,67.29,27.51,53.57,5.61,294.58,Wheat
86.97,49.67,46.07,25.67,54.09,5.57,121.36,Soybean
75.57,88.17,54.49,33.96,57.66,6.99,101.74,Cotton
36.72,63.89,32.23,28.74,74.52,6.32,139.38,Maize
86.6,49.83,45.79,25.27,54.36,5.67,120.94,Soybean
70.46,17.6,21.25,20.83,50.73,5.72,125.58,Soybean
59.99,58.54,40.77,30.67,67.53,5.28,202.01,Sugarcane
26.85,60.02,67.42,30.5,59.66,6.7,155.03,Maize
53.41,85.91,56.34,33.1,56.13,6.87,64.45,Wheat
96.67,40.81,29.2,27.83,65.67,5.82,135.77,Maize
98.32,52.03,33.96,20.67,63.2,5.84,51.62,Pulses
90.7626430703638,16.73337658276772,12.64532299658516,34.556929125094825,77.16557858621613,6.3308730865414065,228.3029879503466,Rice
21.17,33.73,40.1,31.42,85.78,7.18,177.33,Wheat
34.57,77.08,64.73,30.42,70.86,7.66,238.22,Cotton
116.12,74.34,15.6,30.5,65.48,5.85,197.04,Maize
49.46,34.98,44.24,24.98,50.78,6.69,86.75,Sugarcane
94.91,48.14,63.23,28.63,84.74,6.33,144.52,Groundnut
36.82,63.74,32.07,28.94,75.38,5.53,139.19,Maize
55.94,51.57,45.72,23.65,80.51,5.8,283.72,Groundnut
99.83,43.76,49.84,35.4,81.88,6.18,50.21,Pulses
20.8,33.85,40.48,31.6,86.23,6.63,177.47,Wheat
77.94,55.66,76.75,31.35,86.66,7.22,297.72,Groundnut
58.21,48.36,20.02,32.74,88.6,7.07,184.48,Maize
83.35,42.89,70.86,28.32,66.21,5.83,214.77,Millet
21.31,78.35,66.57,31.68,72.51,5.7,53.4,Rice
97.4,59.75,24.8,32.16,52.11,6.15,282.74,Wheat
108.9,88.2,48.36,24.78,54.18,5.74,136.61,Maize
103.34,41.76,34.59,21.78,65.84,6.54,164.22,Sugarcane
37.79,16.74,24.51,30.11,76.45,6.36,247.22,Barley
53.42,86.41,56.08,33.24,56.19,6.33,63.87,Wheat
106.71,66.01,29.18,28.68,51.03,6.83,121.47,Millet
43.79,12.38,67.5,25.83,84.8,6.29,73.94,Rice
115.58,84.54,36.99,20.87,64.11,7.26,92.01,Pulses
95.74,36.88,24.96,23.66,55.33,7.38,213.87,Sugarcane
87.18,49.58,46.16,25.64,53.79,5.73,120.64,Soybean
60.43,27.46,78.68,22.13,70.06,7.25,297.28,Wheat
54.44,87.0,80.3,25.18,70.67,7.22,268.11,Maize
29.28,63.41,21.18,30.4,84.06,7.32,165.17,Cotton
106.35,62.94,64.13,32.58,77.42,6.93,292.92,Barley
96.59,60.32,25.06,32.68,52.0,6.13,282.71,Wheat
42.43,17.23,76.26,21.42,84.59,5.65,159.37,Maize
92.34,81.11,33.53,22.45,51.27,6.16,147.42,Cotton
98.2,51.58,33.7,21.22,63.36,6.1,51.76,Pulses
105.31,79.28,43.74,28.61,82.24,6.6,164.05,Sugarcane
101.4270221631492,16.11862452981324,59.34191525040067,30.822797814406204,88.73691639000401,5.785589817960401,135.4060636641571,Wheat
78.27,55.83,77.01,31.96,87.21,7.55,297.7,Groundnut
109.51,37.67,54.01,32.42,62.22,5.13,234.46,Groundnut
76.95,52.81,78.2,23.46,53.24,6.7,117.7,Barley
26.12,75.08,54.39,20.74,88.55,5.62,91.79,Rice
54.93,58.27,71.72,28.02,54.7,7.04,119.96,Rice
46.06,16.42,14.15,27.88,71.34,7.13,165.01,Soybean
38.71,32.3,74.19,24.78,62.24,6.53,238.5,Rice
74.37,50.78,67.18,25.44,51.05,7.58,101.31,Soybean
82.68,43.12,70.55,28.52,65.64,6.36,214.55,Millet
89.94,18.32,62.86,21.68,89.16,6.24,246.65,Wheat
37.87,17.31,24.54,30.99,76.29,6.82,246.53,Barley
20.29,71.96,29.73,27.13,52.68,6.64,246.15,Pulses
52.85,24.3,22.12,31.85,62.01,5.73,278.1,Millet
33.67,51.95,26.56,21.81,75.6,5.35,111.74,Sugarcane
29.31,63.22,20.72,29.91,83.51,6.93,164.9,Cotton
24.64,87.21,36.05,28.58,87.17,6.13,227.66,Sugarcane
43.6,11.64,67.65,26.11,85.13,6.38,73.86,Rice
19.83,72.46,29.84,27.68,52.94,7.59,245.73,Pulses
87.51,23.47,25.21,21.51,60.36,7.71,135.87,Sugarcane
73.97,51.01,67.43,25.62,50.78,6.82,101.34,Soybean
23.53,76.54,16.59,34.83,61.38,5.93,205.59,Rice
72.51,52.33,44.9,32.11,65.74,6.26,111.95,Millet
92.04,81.16,34.26,21.93,51.05,6.58,147.03,Cotton
44.96,56.45,62.66,25.03,88.13,7.72,300.45,Rice
109.28,87.64,47.99,24.61,54.04,6.13,137.17,Maize
56.17,46.22,53.96,33.85,80.35,5.9,194.92,Sugarcane
24.45,77.19,16.82,34.68,60.93,5.66,206.12,Rice
50.83,14.92,19.99,29.45,55.8,6.44,137.36,Maize
42.27,17.14,76.35,21.4,84.61,5.67,158.83,Maize
96.16383679528315,36.84276740381876,24.562134067858597,24.282049686363248,54.38597068815152,6.820113343030499,213.90209055709965,Rice
58.17,47.67,19.7,32.85,89.48,7.11,184.04,Maize
37.22,27.36,68.4,23.23,57.17,7.4,288.91,Sugarcane
37.74,75.93,78.34,21.99,58.67,5.83,209.77,Sugarcane
109.45,80.81,38.32,33.48,87.61,7.27,74.16,Sugarcane
46.64,52.23,14.24,25.0,65.58,6.55,184.42,Sugarcane
99.06,50.87,66.8,29.8,70.17,7.53,145.38,Sugarcane
82.18,89.76,29.54,27.77,55.89,6.26,155.34,Cotton
69.76,88.69,47.13,20.61,84.29,6.84,99.33,Groundnut
107.12,39.18,31.78,20.49,81.45,6.07,119.31,Maize
54.97,57.77,71.75,27.87,55.11,7.88,120.47,Rice
24.1,77.14,16.89,34.59,60.96,5.59,205.52,Rice
24.5868927010385,77.20895360936534,17.26157953391529,34.45655506296925,60.388276422636466,5.247161244047252,205.79833765527445,Cotton
29.13,18.08,58.61,23.85,61.29,7.72,158.28,Sugarcane
109.6,38.25,54.01,32.31,61.53,5.88,234.45,Groundnut
97.08,41.03,29.3,28.49,66.37,6.22,135.88,Maize
23.58,13.48,39.25,29.23,60.29,5.83,237.63,Wheat
55.4,57.94,71.62,28.15,55.26,7.13,120.23,Rice
61.23,36.29,58.46,24.02,76.35,5.84,160.27,Millet
109.56,37.71,53.95,32.58,61.98,5.13,234.08,Groundnut
56.03,45.73,54.02,33.99,79.88,5.43,195.46,Sugarcane
28.99,35.62,20.08,22.73,84.92,6.92,123.52,Sugarcane
113.62,9.63,31.39,33.47,60.0,6.52,277.83,Groundnut
103.26,42.35,35.0,22.45,65.95,6.06,163.7,Sugarcane
78.47,48.02,11.82,29.79,88.21,6.03,271.92,Sugarcane
26.24,43.64,55.92,23.63,55.27,5.72,286.51,Wheat
55.15,57.87,72.23,28.31,55.38,7.44,120.08,Rice
99.51,44.03,50.43,35.15,82.04,6.1,50.22,Pulses
45.536024195644686,55.767818347534565,62.879135724491526,24.5300904237783,87.65342368882413,6.853626779616545,299.73552850933095,Cotton
37.7,21.04,35.94,21.28,86.39,5.93,237.9,Wheat
42.05,56.61,74.88,25.71,88.42,5.99,54.59,Millet
99.96,44.34,49.96,35.44,82.32,6.46,50.32,Pulses
75.5,88.31,53.67,33.82,57.53,7.12,102.3,Cotton
82.68,30.69,21.58,31.47,54.68,6.86,269.77,Sugarcane
35.486752721569616,9.399010643308833,20.80516513960672,33.58108378609651,71.18436046535447,7.414482828417336,186.32059350609953,Wheat
113.8,9.54,30.8,33.76,60.44,7.18,277.56,Groundnut
28.54,18.35,59.44,23.86,60.56,7.37,158.13,Sugarcane
28.58,36.34,19.51,22.04,85.48,6.65,123.65,Sugarcane
37.64,20.99,35.99,21.3,86.3,5.34,238.03,Wheat
34.96,9.62,20.3,34.69,69.5,6.78,186.54,Rice
95.16,47.2,42.96,24.59,86.5,6.67,276.04,Maize
105.75,62.55,64.23,32.79,77.28,7.03,293.35,Barley
75.96,88.47,54.4,34.34,58.45,7.4,101.64,Cotton
97.74,52.2,33.79,20.71,62.95,6.09,52.13,Pulses
29.82,45.75,32.97,32.29,67.17,6.62,73.89,Soybean
53.18,86.14,55.83,32.85,56.28,6.58,64.31,Wheat
88.32,22.57,24.91,21.59,60.13,7.47,136.07,Sugarcane
28.55,18.26,58.68,23.36,60.73,7.15,157.52,Sugarcane
94.62,40.89,10.4,30.44,60.69,6.72,135.28,Barley
89.95,17.67,62.64,21.36,89.33,6.93,247.16,Wheat
86.59,49.98,46.09,25.49,53.9,5.25,121.11,Soybean
33.798235406131816,52.121762668965374,27.15020731800143,21.722127442118655,75.34855947296731,5.1506312859448355,112.04519716849747,Pulses
46.22,18.82,32.74,32.86,59.84,6.46,193.91,Wheat
31.27,28.68,32.78,21.61,72.44,6.2,265.5,Groundnut
25.58,44.19,56.1,23.59,55.17,6.44,286.53,Wheat
87.91,22.91,24.92,21.0,59.74,7.19,136.21,Sugarcane
58.4085477915026,73.20207719714728,61.46668537628422,27.235656342400574,58.91818934203777,7.082148071871571,60.23921202378999,Soybean
42.04,56.66,75.3,25.72,87.9,5.51,55.15,Millet
75.79,88.22,54.36,34.0,57.64,7.28,101.84,Cotton
21.55,40.99,66.88,27.55,53.98,6.18,295.34,Wheat
103.32,42.26,34.51,22.27,66.22,6.94,163.9,Sugarcane
78.43,55.89,76.83,31.98,86.72,6.64,298.24,Groundnut
21.43,33.66,39.94,32.2,85.68,7.12,177.22,Wheat
29.78,43.86,9.59,25.36,87.6,6.53,70.76,Barley
95.6,36.53,24.84,24.17,54.98,6.54,213.98,Sugarcane
25.29654630014045,44.19016103581306,56.22779791558733,23.961144073579128,54.884400951339344,6.620371145387348,286.7408910822603,Cotton
96.72,40.7,29.23,28.63,65.93,5.94,136.19,Maize
22.098351310598037,40.51611674925532,66.5573775340409,26.45539183681221,53.71615708310019,6.059764605469831,294.5495354727886,Millet
41.94,17.24,75.61,21.09,84.62,5.21,158.59,Maize
82.96,30.52,22.3,32.23,54.86,7.56,269.87,Sugarcane
44.38,11.67,68.18,25.43,84.87,5.54,74.39,Rice
77.62,56.17,76.92,31.26,86.58,7.21,297.94,Groundnut
37.12,26.76,68.27,23.41,57.1,7.13,289.35,Sugarcane
53.69,86.53,80.5,24.81,71.25,7.46,268.33,Maize
102.88,41.85,35.42,21.76,65.89,6.26,164.47,Sugarcane
35.31,76.9,65.02,31.16,71.46,7.15,238.07,Cotton
60.18,26.54,79.49,22.35,69.61,6.44,296.78,Wheat
72.76,26.85,24.53,25.4,89.0,6.17,251.0,Sugarcane
72.81,51.96,44.65,32.06,65.82,5.65,111.82,Millet
28.89,35.75,20.08,22.86,84.78,6.92,123.65,Sugarcane
79.29,17.84,27.99,27.3,84.65,5.25,225.86,Maize
54.44,87.11,79.71,24.94,71.23,7.09,267.82,Maize
23.62,12.67,39.08,29.5,59.77,6.08,237.98,Wheat
40.54,20.17,66.77,24.41,65.62,7.45,257.53,Cotton
58.19,48.03,20.28,32.49,89.21,7.86,184.28,Maize
20.59,34.2,40.24,31.57,86.06,6.59,176.77,Wheat
113.61,10.18,31.22,33.49,60.22,7.19,278.22,Groundnut
37.31,26.51,68.42,23.23,56.87,7.35,289.08,Sugarcane
110.46,37.58,54.23,32.24,61.94,5.88,233.54,Groundnut
22.35,41.43,66.89,27.39,53.6,5.67,294.72,Wheat
73.95,50.89,67.08,26.38,51.04,7.76,100.7,Soybean
59.76372837766703,58.8322206615672,41.13603290782556,29.833009360326294,67.945233047641,5.152733541227141,202.379980949064,Barley
72.68,26.82,25.46,25.44,88.92,6.17,250.67,Sugarcane
81.6,90.43,30.11,28.46,56.4,6.16,155.12,Cotton
78.45,56.07,77.41,31.63,86.52,6.76,297.83,Groundnut
87.34,54.26,73.77,33.84,88.35,6.52,137.57,Maize
98.13,51.75,34.32,20.56,63.33,5.86,51.79,Pulses
54.9,57.54,72.02,28.21,55.09,7.81,119.71,Rice
47.32,52.39,13.82,25.31,65.69,6.45,183.63,Sugarcane
108.61,80.92,38.0,33.66,87.68,7.03,74.32,Sugarcane
26.04,43.74,55.95,23.09,54.86,5.7,286.95,Wheat
19.61,71.56,29.81,27.58,52.62,6.65,246.38,Pulses
82.92,43.44,71.3,27.94,66.46,6.73,215.09,Millet
104.84,79.11,43.55,28.65,81.86,6.94,164.23,Sugarcane
34.7,9.81,19.94,34.11,70.47,6.81,187.36,Rice
109.59,37.88,54.0,32.19,61.64,5.69,234.03,Groundnut
53.43,24.12,22.31,31.65,61.69,5.69,278.3,Millet
70.23,17.5,21.06,21.33,50.91,6.48,125.87,Soybean
114.2,10.4,30.76,34.24,59.78,6.78,277.93,Groundnut
96.03,37.48,25.27,23.62,54.82,6.61,213.98,Sugarcane
43.74,12.3,68.48,25.96,84.91,5.72,74.16,Rice
63.77,68.65,33.19,29.0,72.21,7.6,52.97,Barley
36.78,26.71,67.68,23.81,57.24,7.23,289.4,Sugarcane
91.03,16.7,12.27,34.19,77.45,6.72,229.42,Pulses
115.96,74.44,15.57,29.96,65.41,6.31,197.35,Maize
115.98,18.1,66.37,21.56,66.33,6.75,298.63,Millet
54.83,58.17,71.86,27.99,55.2,7.83,119.89,Rice
106.63,66.13,29.17,29.04,51.24,6.7,120.76,Millet
73.14,26.5,25.16,25.54,88.89,6.55,251.46,Sugarcane
91.76,80.96,33.67,22.47,51.21,6.18,146.52,Cotton
30.14,44.04,10.04,25.39,88.37,6.25,70.98,Barley
39.38,31.58,73.7,24.61,61.84,6.72,238.31,Rice
28.56,18.2,58.82,23.77,61.31,7.59,158.13,Sugarcane
50.87,15.22,19.72,30.39,55.97,6.45,136.76,Maize
60.03,59.34,41.06,30.83,67.83,5.22,202.37,Sugarcane
39.02,31.65,73.5,24.94,62.49,6.96,237.84,Rice
113.57,9.82,31.44,34.15,60.39,7.04,278.33,Groundnut
97.66,52.07,33.66,21.27,63.3,6.45,51.78,Pulses
38.21,16.55,24.9,30.59,76.03,6.05,246.62,Barley
38.68,31.78,73.65,24.19,61.6,6.22,238.01,Rice
42.51,38.88,67.68,28.2,58.58,5.3,128.52,Rice
106.61,39.2,32.24,20.8,81.25,6.48,119.22,Maize
21.22700522599752,33.860379013638976,40.124408745917144,31.989857473112156,86.10899037080733,6.8932911449607825,177.1882960857925,Rice
108.67,88.01,48.42,24.79,53.87,5.38,136.92,Maize
49.41,34.99,44.01,25.06,50.89,6.95,87.39,Sugarcane
54.74,58.19,71.56,27.71,54.82,7.74,120.01,Rice
110.44,38.08,53.73,32.06,61.67,5.33,233.78,Groundnut
97.97,51.97,34.2,20.83,63.39,6.11,52.38,Pulses
71.77,53.07,71.36,25.87,50.72,7.2,253.96,Wheat
71.63,53.07,71.19,25.25,50.8,7.37,253.74,Wheat
73.48,52.01,44.66,32.46,65.57,5.74,111.83,Millet
116.29,74.08,15.71,29.85,64.96,5.62,196.66,Maize
105.15,79.31,44.38,28.03,81.58,6.97,163.62,Sugarcane
72.59,52.25,45.48,32.21,66.22,6.24,112.08,Millet
37.38,64.03,32.26,29.15,74.75,5.5,138.94,Maize
29.09,62.64,20.87,29.79,83.83,7.68,165.3,Cotton
100.58,16.0,60.01,30.98,88.91,5.7,136.17,Soybean
116.06,84.61,37.18,20.85,63.87,7.4,91.53,Pulses
59.3,73.04,62.33,27.25,59.39,6.49,60.35,Millet
46.89,52.44,14.3,24.73,65.93,7.38,183.7,Sugarcane
92.12,13.94,60.74,32.78,64.88,5.92,117.59,Maize
116.22,18.18,65.65,22.4,66.44,5.97,298.92,Millet
31.437310872618827,30.180931341364793,32.80297097930498,21.7867449005831,71.45201098989419,5.588975563025231,265.74440446727937,Barley
29.73,43.57,9.78,25.23,87.65,6.43,70.86,Barley
113.85,81.53,54.06,34.1,62.0,6.07,274.54,Soybean
29.7,40.79,55.85,22.14,79.15,6.67,274.89,Wheat
26.67,59.83,66.53,30.88,60.25,7.27,155.01,Maize
99.92,44.42,50.14,34.89,82.21,6.34,49.82,Pulses
37.84,21.49,35.58,21.21,85.96,5.4,238.43,Wheat
118.97,32.09,59.34,20.21,66.87,5.4,285.09,Maize
70.19,18.31,21.11,20.72,50.9,6.08,125.68,Soybean
43.61,11.55,67.69,25.99,85.48,6.12,73.77,Rice
82.55,42.56,71.05,28.57,66.17,5.81,214.67,Millet
73.45,52.18,44.58,32.46,65.8,5.79,111.72,Millet
20.85,77.97,67.38,30.9,72.73,6.35,52.88,Rice
26.66,60.45,67.24,30.96,60.47,6.81,155.5,Maize
43.98,12.36,68.47,25.93,84.69,5.56,74.14,Rice
51.26,15.2,19.91,29.75,55.63,6.04,136.67,Maize
43.02292158983072,39.32354451211859,67.99861752707858,28.779745548707737,59.20436611317548,5.356310514070554,129.0797051728335,Barley
20.87,78.21,66.84,31.04,73.27,5.8,53.36,Rice
21.44,34.06,40.11,31.78,86.5,6.92,177.04,Wheat
20.87,34.01,39.62,31.73,85.81,6.84,177.34,Wheat
41.64,17.02,76.44,21.26,84.86,5.51,159.45,Maize
103.04,45.34,13.1,28.11,61.21,6.55,286.29,Maize
79.03,17.7,28.43,27.51,84.96,6.04,225.8,Maize
37.5,20.86,35.94,20.7,86.45,5.84,238.35,Wheat
119.47,32.2,58.94,20.2,67.39,5.7,285.3,Maize
81.93,90.09,30.32,28.49,56.32,5.57,155.4,Cotton
95.39,47.27,42.57,23.96,86.77,6.91,276.11,Maize
95.77,37.43,25.32,23.63,55.03,6.89,213.84,Sugarcane
88.68,28.88,45.08,26.22,59.96,7.09,250.74,Rice
79.45,18.36,27.73,27.84,84.65,5.54,226.33,Maize
59.96,58.99,41.0,30.11,67.93,5.86,201.95,Sugarcane
49.41,35.5,43.75,24.91,51.37,6.7,86.8,Sugarcane
43.98,12.1,67.59,25.74,85.24,5.84,73.59,Rice
104.63,78.91,44.0,27.86,81.67,6.76,164.12,Sugarcane
115.88,84.56,37.09,21.21,64.27,6.75,92.01,Pulses
88.13,22.88,24.96,21.79,60.03,7.29,135.6,Sugarcane
56.33,45.8,53.59,34.3,79.67,5.43,195.42,Sugarcane
29.32,62.52,20.76,29.85,83.8,7.37,164.8,Cotton
58.42,47.5,19.82,32.81,89.01,6.98,184.12,Maize
59.40026452005607,26.640319384483284,79.32436156599944,21.856140367020906,69.76065770544814,7.464225917788859,297.0321121267624,Barley
72.97,27.49,24.53,25.85,89.11,6.0,250.76,Sugarcane
26.62,59.94,67.08,30.75,60.04,6.59,155.45,Maize
21.69,41.31,67.2,26.7,54.27,6.17,295.3,Wheat
25.84,74.8,54.21,19.95,88.83,5.62,92.47,Rice
47.42,52.2,14.08,24.7,66.12,6.62,184.46,Sugarcane
95.01590904332258,47.087537007971825,43.22727272683031,24.219085544423628,87.35515584314196,6.376472579985802,275.5404838757945,Millet
74.1,51.05,67.14,25.92,51.25,6.99,100.98,Soybean
90.65,16.93,12.42,34.03,77.3,6.69,228.95,Pulses
114.2,9.78,31.5,34.11,60.32,7.3,277.91,Groundnut
95.0,46.62,43.04,24.11,86.72,6.11,276.01,Maize
73.47,27.43,25.01,26.13,89.44,6.38,251.24,Sugarcane
109.3,87.77,47.53,24.29,53.65,5.81,137.34,Maize
72.62,51.7,44.81,31.69,66.31,5.69,112.01,Millet
35.49358492318057,76.6163880263436,65.39533959755505,31.49942004538108,70.62241396098027,7.061577140791066,238.0011508203977,Wheat
42.35,57.28,74.82,25.24,87.69,5.71,55.36,Millet
96.65,59.9,24.83,31.88,51.52,6.75,282.7,Wheat
52.88,85.59,55.72,33.03,55.83,6.8,63.95,Wheat
50.87,15.23,19.63,29.81,55.67,6.33,136.63,Maize
45.5,55.95,62.94,25.13,87.94,7.45,300.14,Rice
60.33,27.14,79.37,21.96,70.07,6.44,296.95,Wheat
61.09,36.38,58.3,24.02,76.47,5.78,159.93,Millet
89.61,17.77,63.08,21.09,89.34,6.97,247.04,Wheat
72.9,51.82,44.86,31.66,65.72,5.66,112.14,Millet
92.2,80.69,34.35,22.56,51.41,6.25,146.53,Cotton
82.65,30.63,22.5,31.38,54.76,6.73,270.09,Sugarcane
45.66,15.64,14.3,27.74,70.88,7.39,165.0,Soybean
87.42,53.99,73.8,33.7,87.96,6.56,138.19,Maize
41.57,16.64,76.28,20.94,84.57,5.67,159.17,Maize
59.21,72.93,62.11,27.12,59.02,6.57,60.05,Millet
54.75,57.69,72.16,28.08,54.9,7.69,119.66,Rice
42.14,56.61,75.35,25.09,87.82,5.52,55.24,Millet
60.29,59.49,41.16,30.83,68.38,5.7,201.93,Sugarcane
73.89,50.94,67.39,25.42,51.39,6.97,100.75,Soybean
27.09,59.55,67.46,30.43,59.81,6.47,154.99,Maize
34.8,10.07,19.96,34.14,69.54,6.68,187.16,Rice
90.13,17.82,63.35,20.98,89.23,6.55,247.31,Wheat
29.88,45.55,32.5,31.94,67.33,6.59,74.31,Soybean
34.67,10.5,19.66,34.28,70.08,7.5,187.06,Rice
106.71,39.18,31.9,20.41,80.84,5.71,118.71,Maize
21.23,33.52,40.3,32.15,86.1,7.4,177.1,Wheat
95.02,48.31,63.4,29.26,85.14,6.38,144.74,Groundnut
96.73,59.88,25.31,32.75,51.52,6.82,282.75,Wheat
28.82,36.07,19.99,22.44,84.77,6.7,124.2,Sugarcane
83.41,30.98,21.87,31.58,55.03,6.81,270.44,Sugarcane
52.68,23.97,22.33,31.35,61.83,5.24,278.15,Millet
97.75,52.34,34.37,20.63,62.92,6.2,51.61,Pulses
97.83,52.26,33.58,20.86,62.62,6.68,51.68,Pulses
106.55,65.76,28.86,28.97,51.17,6.63,120.61,Millet
24.34,13.14,38.82,29.4,59.75,5.54,238.47,Wheat
42.11,16.58,76.07,21.18,85.36,5.25,159.11,Maize
26.91,59.83,66.64,30.46,59.8,6.71,155.46,Maize
36.82,63.66,31.88,28.63,74.84,5.58,138.72,Maize
44.11,11.56,68.49,26.19,85.48,5.52,74.2,Rice
60.21,26.68,78.72,22.52,69.81,7.38,296.58,Wheat
73.07,52.47,45.06,32.02,66.11,6.44,112.09,Millet
59.73,59.19,40.75,30.74,67.86,5.28,201.98,Sugarcane
76.71,52.79,77.88,22.99,53.16,7.1,117.54,Barley
116.05,18.24,66.42,21.67,66.13,6.1,298.95,Millet
109.34,80.96,37.61,33.66,87.61,7.27,73.85,Sugarcane
53.06,86.05,55.52,33.1,55.89,6.72,63.51,Wheat
28.64,17.63,59.29,24.09,61.25,7.62,157.82,Sugarcane
90.37,18.27,62.6,20.9,89.33,6.97,247.39,Wheat
20.86,34.25,39.73,31.35,86.44,6.65,177.22,Wheat
95.44,46.66,42.97,24.1,87.38,6.24,276.37,Maize
114.39,81.69,53.62,34.0,62.47,5.74,275.36,Soybean
57.67,47.77,19.75,32.9,88.94,7.09,183.84,Maize
115.77,73.67,15.86,30.16,64.85,6.37,196.63,Maize
109.41995211213043,80.56906620538207,38.3412892785891,33.45730713664606,88.14342676570492,6.999578996223405,73.33116913591658,Pulses
59.7,58.83,40.91,30.66,68.15,5.56,201.54,Sugarcane
94.91,40.75,10.05,31.18,61.06,6.12,135.48,Barley
73.56,51.34,66.82,25.69,50.7,7.26,100.66,Soybean
83.0,31.39,22.15,31.3,54.69,7.48,270.44,Sugarcane
46.87,52.49,14.19,24.87,66.09,6.83,183.62,Sugarcane
57.8,48.42,20.11,32.02,89.09,7.27,183.86,Maize
37.6,17.43,25.24,30.22,76.48,6.12,247.18,Barley
86.65,53.86,74.3,33.47,87.98,5.92,138.09,Maize
109.05,87.58,48.26,24.08,53.76,5.9,136.94,Maize
44.69,56.23,63.47,24.86,88.44,7.5,299.56,Rice
60.45,58.82,40.84,30.96,67.83,6.12,202.07,Sugarcane
29.43,17.85,59.13,24.1,61.47,6.9,157.67,Sugarcane
29.06,17.6,59.27,23.35,60.93,6.91,157.82,Sugarcane
59.84,26.74,79.18,22.3,70.12,6.77,297.07,Wheat
92.21,80.82,34.08,22.46,51.04,6.57,147.12,Cotton
103.18,42.09,34.75,21.86,66.08,6.93,164.25,Sugarcane
72.83,26.94,24.89,25.86,89.21,6.21,250.72,Sugarcane
50.6,15.08,20.43,29.98,56.08,6.54,136.97,Maize
99.67,43.87,49.8,35.18,81.87,5.87,49.63,Pulses
88.17,22.63,24.84,21.75,60.17,7.89,136.46,Sugarcane
55.59,45.96,54.19,34.41,79.72,5.76,194.84,Sugarcane
26.79,60.1,66.85,30.95,60.41,7.15,154.65,Maize
36.8,27.4,68.47,23.73,56.96,7.68,288.96,Sugarcane
43.19,39.37,68.0,28.94,58.82,5.83,129.06,Rice
32.51,24.36,14.95,19.76,50.07,6.59,75.28,Pulses
50.52,15.16,19.79,29.96,55.82,6.71,137.26,Maize
38.77,26.03,40.94,32.91,69.45,6.62,167.69,Soybean
29.59,41.33,55.65,22.24,78.54,6.41,274.74,Wheat
48.71,34.9,44.0,24.69,50.74,6.85,87.26,Sugarcane
69.88,17.76,20.74,20.74,51.01,6.38,125.92,Soybean
72.51,52.49,45.06,32.11,66.28,6.16,112.46,Millet
109.08941184843403,80.8708579720307,37.43080716714307,33.636667108441614,88.67610067048423,7.650154310742618,73.59314603267713,Soybean
94.98,47.33,42.71,24.21,87.14,6.17,276.33,Maize
47.0,52.08,14.43,25.05,65.91,6.47,184.0,Sugarcane
97.37,41.31,28.54,28.02,66.39,6.49,136.35,Maize
45.63,18.94,33.28,32.03,59.63,7.17,194.19,Wheat
37.43,27.27,67.59,23.69,57.07,7.07,288.83,Sugarcane
78.07,48.29,11.51,30.43,88.14,6.49,271.51,Sugarcane
113.08,48.6,52.0,34.2,83.66,5.36,227.93,Groundnut
88.02734619562654,22.147246954635207,24.636876417174264,20.76320058047705,59.6263144770853,7.2539080392109705,135.79399543160554,Barley
21.12,77.69,67.47,30.94,72.96,5.85,52.56,Rice
24.05,77.19,17.25,34.59,60.91,5.99,206.09,Rice
53.03,85.77,56.04,32.61,55.55,6.35,64.25,Wheat
42.25,56.61,75.03,25.88,88.16,5.78,55.02,Millet
61.16,35.82,58.4,24.08,76.1,6.12,159.78,Millet
114.09,10.17,30.69,33.64,59.72,7.14,278.2,Groundnut
107.48,66.03,28.61,28.42,51.19,6.75,121.25,Millet
47.09,52.48,13.94,25.58,65.71,6.49,184.36,Sugarcane
78.4,55.77,76.73,31.01,86.51,6.82,297.83,Groundnut
52.85,24.35,22.34,31.18,62.19,6.04,277.65,Millet
78.75,18.49,28.35,27.22,85.13,5.28,225.98,Maize
95.6,36.75,25.28,24.0,55.23,6.81,214.22,Sugarcane
78.22,55.89,76.7,31.97,87.33,7.36,298.08,Groundnut
37.6,16.93,24.53,30.47,76.41,6.1,247.43,Barley
44.54,55.71,63.07,24.79,88.02,6.99,300.22,Rice
115.7,18.26,65.66,22.44,65.92,6.78,298.95,Millet
77.56,55.76,77.34,31.9,86.87,6.74,297.54,Groundnut
53.06535284861179,87.1970737838863,79.97219170004342,24.770204853562053,71.1340638435887,7.683885848276947,268.24349195707515,Sugarcane
87.02,49.62,46.07,25.25,53.74,6.01,120.63,Soybean
42.75,39.22,67.95,29.06,58.89,5.64,128.69,Rice
